Time, RPM
62.843, 5285.71
62.863, 5285.71
62.883, 5262.86
62.903, 5245.71
62.923, 5245.71
62.943, 5245.71
62.963, 5314.29
62.983, 5314.29
63.003, 5525.71
63.023, 5662.86
63.043, 5662.86
63.063, 5742.86
63.083, 5777.14
63.103, 5777.14
63.123, 5800
63.143, 5800
63.163, 5817.14
63.183, 5822.86
63.203, 5822.86
63.223, 5828.57
63.243, 5834.29
63.263, 5834.29
63.283, 5834.29
63.303, 5834.29
63.323, 5834.29
63.343, 5840
63.363, 5840
63.383, 5840
63.403, 5834.29
63.423, 5834.29
63.443, 5840
63.463, 5840
63.483, 5840
63.503, 5834.29
63.523, 5840
63.543, 5840
63.563, 5840
63.583, 5840
63.603, 5840
63.623, 5834.29
63.643, 5834.29
63.663, 5840
63.683, 5840
63.703, 5840
63.723, 5840
63.743, 5845.72
63.763, 5845.72
63.783, 5840
63.803, 5840
63.823, 5840
63.843, 5840
63.863, 5840
63.883, 5845.71
63.903, 5840
63.923, 5840
63.943, 5840
63.963, 5840
63.983, 5840
64.003, 5840
64.023, 5845.71
64.043, 5845.71
64.063, 5840
64.083, 5840
64.103, 5840
64.123, 5840
64.143, 5840
64.163, 5840
64.183, 5840
64.203, 5840
64.223, 5840
64.243, 5840
64.263, 5840
64.283, 5840
64.303, 5845.72
64.323, 5845.72
64.343, 5840
64.363, 5840
64.383, 5840
64.403, 5845.71
64.423, 5845.71
64.443, 5845.72
64.463, 5840
64.483, 5840
64.503, 5840
64.523, 5840
64.543, 5840
64.563, 5840
64.583, 5840
64.603, 5840
64.623, 5840
64.643, 5840
64.663, 5840
64.683, 5840
64.703, 5840
64.723, 5845.71
64.743, 5840
64.763, 5840
64.783, 5840
64.803, 5840
64.823, 5840
64.843, 5845.71
64.863, 5845.71
64.883, 5845.71
64.903, 5840
64.923, 5840
64.943, 5840
64.963, 5840
64.983, 5840
65.003, 5845.72
65.023, 5840
65.043, 5840
65.063, 5840
65.083, 5840
65.103, 5840
65.123, 5840
65.143, 5840
65.163, 5845.71
65.183, 5840
65.203, 5840
65.223, 5840
65.243, 5840
65.263, 5840
65.283, 5845.71
65.303, 5845.72
65.323, 5845.72
65.343, 5840
65.363, 5840
65.383, 5840
65.403, 5840
65.423, 5840
65.443, 5845.72
65.463, 5840
65.483, 5840
65.503, 5840
65.523, 5840
65.543, 5840
65.563, 5840
65.583, 5845.71
65.603, 5845.71
65.623, 5840
65.643, 5840
65.663, 5840
65.683, 5840
65.703, 5840
65.723, 5845.71
65.743, 5845.72
65.763, 5845.72
65.783, 5840
65.803, 5840
65.823, 5840
65.843, 5840
65.863, 5840
65.883, 5845.71
65.903, 5845.71
65.923, 5845.71
65.943, 5840
65.963, 5840
65.983, 5840
66.003, 5840
66.023, 5834.29
66.043, 5834.29
66.063, 5748.57
66.083, 5531.43
66.103, 5531.43
66.123, 5382.86
66.143, 5382.86
66.163, 5308.57
66.183, 5268.57
66.203, 5268.57
66.223, 5245.71
66.243, 5222.86
66.263, 5222.86
66.283, 5228.57
66.303, 5302.86
66.323, 5302.86
66.343, 5514.29
66.363, 5514.29
66.383, 5657.14
66.403, 5731.43
66.423, 5731.43
66.443, 5771.43
66.463, 5794.29
66.483, 5794.29
66.503, 5811.43
66.523, 5811.43
66.543, 5811.43
66.563, 5822.86
66.583, 5828.57
66.603, 5828.57
66.623, 5828.57
66.643, 5828.57
66.663, 5828.57
66.683, 5828.57
66.703, 5828.57
66.723, 5828.57
66.743, 5828.57
66.763, 5828.57
66.783, 5834.29
66.803, 5834.29
66.823, 5834.29
66.843, 5828.57
66.863, 5828.57
66.883, 5834.29
66.903, 5834.29
66.923, 5834.29
66.943, 5834.29
66.963, 5834.29
66.983, 5834.29
67.003, 5840
67.023, 5834.29
67.043, 5834.29
67.063, 5834.29
67.083, 5834.29
67.103, 5834.29
67.123, 5834.29
67.143, 5834.29
67.163, 5834.29
67.183, 5834.29
67.203, 5834.29
67.223, 5834.29
67.243, 5834.29
67.263, 5834.29
67.283, 5834.29
67.303, 5834.29
67.323, 5834.29
67.343, 5840
67.363, 5840
67.383, 5834.29
67.403, 5834.29
67.423, 5834.29
67.443, 5840
67.463, 5834.29
67.483, 5834.29
67.503, 5834.29
67.523, 5840
67.543, 5840
67.563, 5834.29
67.583, 5834.29
67.603, 5834.29
67.623, 5840
67.643, 5840
67.663, 5834.29
67.683, 5834.29
67.703, 5834.29
67.723, 5840
67.743, 5840
67.763, 5840
67.783, 5834.29
67.803, 5840
67.823, 5840
67.843, 5840
67.863, 5840
67.883, 5834.29
67.903, 5840
67.923, 5840
67.943, 5840
67.963, 5834.29
67.983, 5834.29
68.003, 5834.29
68.023, 5840
68.043, 5840
68.063, 5834.29
68.083, 5834.29
68.103, 5834.29
68.123, 5840
68.143, 5840
68.163, 5834.29
68.183, 5834.29
68.203, 5834.29
68.223, 5840
68.243, 5834.29
68.263, 5834.29
68.283, 5834.29
68.303, 5840
68.323, 5840
68.343, 5834.29
68.363, 5834.29
68.383, 5834.29
68.403, 5840
68.423, 5840
68.443, 5840
68.463, 5834.29
68.483, 5834.29
68.503, 5840
68.523, 5834.29
68.543, 5834.29
68.563, 5828.57
68.583, 5822.86
68.603, 5822.86
68.623, 5765.71
68.643, 5765.71
68.663, 5560
68.683, 5382.86
68.703, 5382.86
68.723, 5297.14
68.743, 5251.43
68.763, 5251.43
68.783, 5222.86
68.803, 5211.43
68.823, 5211.43
